gamma,k,fingerprint_length,n_recipients,sk,id,code,embedding_ratio,vote_error,tp,tn
2,300,128,20,105,0,tardos,0.5,0.012209828157974074,1.0,0.6875
2,300,128,20,105,0,tardos,0.5,0.012209828157974074,1.0,0.6796875
2,300,128,20,105,0,tardos,0.5,0.012209828157974074,1.0,0.6484375
2,300,128,20,105,0,hash,0.5,0.012657559559163202,1.0,0.609375
2,300,128,20,105,0,hash,0.5,0.012657559559163202,1.0,0.59375
2,300,128,20,105,0,hash,0.5,0.012657559559163202,1.0,0.546875
2,300,128,20,105,0,hash,0.5,0.012657559559163202,1.0,0.5390625
2,300,128,20,105,0,hash,0.5,0.012657559559163202,1.0,0.515625
2,300,128,20,105,0,hash,0.5,0.012657559559163202,1.0,0.515625
2,300,128,20,105,0,hash,0.5,0.012657559559163202,1.0,0.5
2,300,128,20,105,0,hash,0.5,0.012657559559163202,1.0,0.5
2,300,128,20,105,0,hash,0.5,0.012657559559163202,1.0,0.4921875
2,300,128,20,105,0,hash,0.5,0.012657559559163202,1.0,0.4921875
2,300,128,20,105,0,hash,0.5,0.012657559559163202,1.0,0.484375
2,300,128,20,105,0,hash,0.5,0.012657559559163202,1.0,0.46875
2,300,128,20,105,0,hash,0.5,0.012657559559163202,1.0,0.4609375
2,300,128,20,105,0,hash,0.5,0.012657559559163202,1.0,0.4609375
2,300,128,20,105,0,hash,0.5,0.012657559559163202,1.0,0.453125
2,300,128,20,105,0,hash,0.5,0.012657559559163202,1.0,0.4453125
2,300,128,20,105,0,hash,0.5,0.012657559559163202,1.0,0.421875
2,300,128,20,105,0,hash,0.5,0.012657559559163202,1.0,0.421875
2,300,128,20,105,0,hash,0.5,0.012657559559163202,1.0,0.4140625
2,300,128,20,106,0,tardos,0.5,0.012604866064573766,1.0,0.828125
2,300,128,20,106,0,tardos,0.5,0.012604866064573766,1.0,0.8046875
2,300,128,20,106,0,tardos,0.5,0.012604866064573766,1.0,0.796875
2,300,128,20,106,0,tardos,0.5,0.012604866064573766,1.0,0.796875
2,300,128,20,106,0,tardos,0.5,0.012604866064573766,1.0,0.7890625
2,300,128,20,106,0,tardos,0.5,0.012604866064573766,1.0,0.7890625
2,300,128,20,106,0,tardos,0.5,0.012604866064573766,1.0,0.7890625
2,300,128,20,106,0,tardos,0.5,0.012604866064573766,1.0,0.7890625
2,300,128,20,106,0,tardos,0.5,0.012604866064573766,1.0,0.78125
2,300,128,20,106,0,tardos,0.5,0.012604866064573766,1.0,0.7734375
2,300,128,20,106,0,tardos,0.5,0.012604866064573766,1.0,0.765625
2,300,128,20,106,0,tardos,0.5,0.012604866064573766,1.0,0.765625
2,300,128,20,106,0,tardos,0.5,0.012604866064573766,1.0,0.765625
2,300,128,20,106,0,tardos,0.5,0.012604866064573766,1.0,0.75
2,300,128,20,106,0,tardos,0.5,0.012604866064573766,1.0,0.7421875
2,300,128,20,106,0,tardos,0.5,0.012604866064573766,1.0,0.7421875
2,300,128,20,106,0,tardos,0.5,0.012604866064573766,1.0,0.734375
2,300,128,20,106,0,tardos,0.5,0.012604866064573766,1.0,0.7265625
2,300,128,20,106,0,tardos,0.5,0.012604866064573766,1.0,0.7265625
2,300,128,20,106,0,hash,0.5,0.012875017020439658,1.0,0.578125
2,300,128,20,106,0,hash,0.5,0.012875017020439658,1.0,0.5703125
2,300,128,20,106,0,hash,0.5,0.012875017020439658,1.0,0.546875
2,300,128,20,106,0,hash,0.5,0.012875017020439658,1.0,0.546875
2,300,128,20,106,0,hash,0.5,0.012875017020439658,1.0,0.5390625
2,300,128,20,106,0,hash,0.5,0.012875017020439658,1.0,0.53125
2,300,128,20,106,0,hash,0.5,0.012875017020439658,1.0,0.5234375
2,300,128,20,106,0,hash,0.5,0.012875017020439658,1.0,0.5234375
2,300,128,20,106,0,hash,0.5,0.012875017020439658,1.0,0.515625
2,300,128,20,106,0,hash,0.5,0.012875017020439658,1.0,0.515625
2,300,128,20,106,0,hash,0.5,0.012875017020439658,1.0,0.5078125
2,300,128,20,106,0,hash,0.5,0.012875017020439658,1.0,0.4921875
2,300,128,20,106,0,hash,0.5,0.012875017020439658,1.0,0.4765625
2,300,128,20,106,0,hash,0.5,0.012875017020439658,1.0,0.4765625
2,300,128,20,106,0,hash,0.5,0.012875017020439658,1.0,0.4765625
2,300,128,20,106,0,hash,0.5,0.012875017020439658,1.0,0.46875
2,300,128,20,106,0,hash,0.5,0.012875017020439658,1.0,0.4609375
2,300,128,20,106,0,hash,0.5,0.012875017020439658,1.0,0.453125
2,300,128,20,106,0,hash,0.5,0.012875017020439658,1.0,0.453125
2,300,128,20,107,0,tardos,0.5,0.012886038194796357,1.0,0.8203125
2,300,128,20,107,0,tardos,0.5,0.012886038194796357,1.0,0.8125
2,300,128,20,107,0,tardos,0.5,0.012886038194796357,1.0,0.796875
2,300,128,20,107,0,tardos,0.5,0.012886038194796357,1.0,0.796875
2,300,128,20,107,0,tardos,0.5,0.012886038194796357,1.0,0.796875
2,300,128,20,107,0,tardos,0.5,0.012886038194796357,1.0,0.796875
2,300,128,20,107,0,tardos,0.5,0.012886038194796357,1.0,0.7734375
2,300,128,20,107,0,tardos,0.5,0.012886038194796357,1.0,0.7734375
2,300,128,20,107,0,tardos,0.5,0.012886038194796357,1.0,0.765625
2,300,128,20,107,0,tardos,0.5,0.012886038194796357,1.0,0.765625
2,300,128,20,107,0,tardos,0.5,0.012886038194796357,1.0,0.7578125
2,300,128,20,107,0,tardos,0.5,0.012886038194796357,1.0,0.7578125
2,300,128,20,107,0,tardos,0.5,0.012886038194796357,1.0,0.7578125
2,300,128,20,107,0,tardos,0.5,0.012886038194796357,1.0,0.75
2,300,128,20,107,0,tardos,0.5,0.012886038194796357,1.0,0.7421875
2,300,128,20,107,0,tardos,0.5,0.012886038194796357,1.0,0.7421875
2,300,128,20,107,0,tardos,0.5,0.012886038194796357,1.0,0.7421875
2,300,128,20,107,0,tardos,0.5,0.012886038194796357,1.0,0.7421875
2,300,128,20,107,0,tardos,0.5,0.012886038194796357,1.0,0.71875
2,300,128,20,107,0,hash,0.5,0.01269879421543885,1.0,0.6171875
2,300,128,20,107,0,hash,0.5,0.01269879421543885,1.0,0.578125
2,300,128,20,107,0,hash,0.5,0.01269879421543885,1.0,0.5625
2,300,128,20,107,0,hash,0.5,0.01269879421543885,1.0,0.5546875
2,300,128,20,107,0,hash,0.5,0.01269879421543885,1.0,0.5546875
2,300,128,20,107,0,hash,0.5,0.01269879421543885,1.0,0.546875
2,300,128,20,107,0,hash,0.5,0.01269879421543885,1.0,0.5234375
2,300,128,20,107,0,hash,0.5,0.01269879421543885,1.0,0.5234375
2,300,128,20,107,0,hash,0.5,0.01269879421543885,1.0,0.5234375
2,300,128,20,107,0,hash,0.5,0.01269879421543885,1.0,0.515625
2,300,128,20,107,0,hash,0.5,0.01269879421543885,1.0,0.515625
2,300,128,20,107,0,hash,0.5,0.01269879421543885,1.0,0.5
2,300,128,20,107,0,hash,0.5,0.01269879421543885,1.0,0.5
2,300,128,20,107,0,hash,0.5,0.01269879421543885,1.0,0.4765625
2,300,128,20,107,0,hash,0.5,0.01269879421543885,1.0,0.4609375
2,300,128,20,107,0,hash,0.5,0.01269879421543885,1.0,0.4609375
2,300,128,20,107,0,hash,0.5,0.01269879421543885,1.0,0.453125
2,300,128,20,107,0,hash,0.5,0.01269879421543885,1.0,0.4453125
2,300,128,20,107,0,hash,0.5,0.01269879421543885,1.0,0.4296875
2,300,128,20,108,0,tardos,0.5,0.012782027694393338,1.0,0.7890625
2,300,128,20,108,0,tardos,0.5,0.012782027694393338,1.0,0.7734375
2,300,128,20,108,0,tardos,0.5,0.012782027694393338,1.0,0.765625
2,300,128,20,108,0,tardos,0.5,0.012782027694393338,1.0,0.7578125
2,300,128,20,108,0,tardos,0.5,0.012782027694393338,1.0,0.75
2,300,128,20,108,0,tardos,0.5,0.012782027694393338,1.0,0.75
2,300,128,20,108,0,tardos,0.5,0.012782027694393338,1.0,0.7421875
2,300,128,20,108,0,tardos,0.5,0.012782027694393338,1.0,0.7421875
2,300,128,20,108,0,tardos,0.5,0.012782027694393338,1.0,0.7421875
2,300,128,20,108,0,tardos,0.5,0.012782027694393338,1.0,0.734375
2,300,128,20,108,0,tardos,0.5,0.012782027694393338,1.0,0.734375
2,300,128,20,108,0,tardos,0.5,0.012782027694393338,1.0,0.734375
2,300,128,20,108,0,tardos,0.5,0.012782027694393338,1.0,0.7265625
2,300,128,20,108,0,tardos,0.5,0.012782027694393338,1.0,0.7265625
2,300,128,20,108,0,tardos,0.5,0.012782027694393338,1.0,0.71875
2,300,128,20,108,0,tardos,0.5,0.012782027694393338,1.0,0.703125
2,300,128,20,108,0,tardos,0.5,0.012782027694393338,1.0,0.6953125
2,300,128,20,108,0,tardos,0.5,0.012782027694393338,1.0,0.6953125
2,300,128,20,108,0,tardos,0.5,0.012782027694393338,1.0,0.6796875
2,300,128,20,108,0,hash,0.5,0.012635788070643118,1.0,0.6015625
2,300,128,20,108,0,hash,0.5,0.012635788070643118,1.0,0.578125
2,300,128,20,108,0,hash,0.5,0.012635788070643118,1.0,0.5703125
2,300,128,20,108,0,hash,0.5,0.012635788070643118,1.0,0.5625
2,300,128,20,108,0,hash,0.5,0.012635788070643118,1.0,0.5625
2,300,128,20,108,0,hash,0.5,0.012635788070643118,1.0,0.5390625
2,300,128,20,108,0,hash,0.5,0.012635788070643118,1.0,0.5390625
2,300,128,20,108,0,hash,0.5,0.012635788070643118,1.0,0.5234375
2,300,128,20,108,0,hash,0.5,0.012635788070643118,1.0,0.515625
2,300,128,20,108,0,hash,0.5,0.012635788070643118,1.0,0.515625
2,300,128,20,108,0,hash,0.5,0.012635788070643118,1.0,0.515625
2,300,128,20,108,0,hash,0.5,0.012635788070643118,1.0,0.5
2,300,128,20,108,0,hash,0.5,0.012635788070643118,1.0,0.5
2,300,128,20,108,0,hash,0.5,0.012635788070643118,1.0,0.484375
2,300,128,20,108,0,hash,0.5,0.012635788070643118,1.0,0.484375
2,300,128,20,108,0,hash,0.5,0.012635788070643118,1.0,0.484375
2,300,128,20,108,0,hash,0.5,0.012635788070643118,1.0,0.4609375
2,300,128,20,108,0,hash,0.5,0.012635788070643118,1.0,0.4375
2,300,128,20,108,0,hash,0.5,0.012635788070643118,1.0,0.4140625
2,300,128,20,109,0,tardos,0.5,0.012610719111244558,1.0,0.8046875
2,300,128,20,109,0,tardos,0.5,0.012610719111244558,1.0,0.796875
2,300,128,20,109,0,tardos,0.5,0.012610719111244558,1.0,0.7890625
2,300,128,20,109,0,tardos,0.5,0.012610719111244558,1.0,0.7890625
2,300,128,20,109,0,tardos,0.5,0.012610719111244558,1.0,0.78125
2,300,128,20,109,0,tardos,0.5,0.012610719111244558,1.0,0.78125
2,300,128,20,109,0,tardos,0.5,0.012610719111244558,1.0,0.7734375
2,300,128,20,109,0,tardos,0.5,0.012610719111244558,1.0,0.765625
2,300,128,20,109,0,tardos,0.5,0.012610719111244558,1.0,0.765625
2,300,128,20,109,0,tardos,0.5,0.012610719111244558,1.0,0.765625
2,300,128,20,109,0,tardos,0.5,0.012610719111244558,1.0,0.7578125
2,300,128,20,109,0,tardos,0.5,0.012610719111244558,1.0,0.7578125
2,300,128,20,109,0,tardos,0.5,0.012610719111244558,1.0,0.7421875
2,300,128,20,109,0,tardos,0.5,0.012610719111244558,1.0,0.7265625
2,300,128,20,109,0,tardos,0.5,0.012610719111244558,1.0,0.71875
2,300,128,20,109,0,tardos,0.5,0.012610719111244558,1.0,0.71875
2,300,128,20,109,0,tardos,0.5,0.012610719111244558,1.0,0.7109375
2,300,128,20,109,0,tardos,0.5,0.012610719111244558,1.0,0.7109375
2,300,128,20,109,0,tardos,0.5,0.012610719111244558,1.0,0.7109375
2,300,128,20,109,0,hash,0.5,0.013237837915112008,1.0,0.5390625
