gamma,k,fingerprint_length,n_recipients,sk,id,code,embedding_ratio,vote_error,tp,tn
4,300,128,20,101,0,hash,0.25,0.01275950270656118,1.0,0.4765625
4,300,128,20,101,0,hash,0.25,0.01275950270656118,1.0,0.46875
4,300,128,20,101,0,hash,0.25,0.01275950270656118,1.0,0.4453125
4,300,128,20,101,0,hash,0.25,0.01275950270656118,1.0,0.4375
4,300,128,20,101,0,hash,0.25,0.01275950270656118,1.0,0.4375
4,300,128,20,102,0,tardos,0.25,0.011823707197183566,1.0,0.828125
4,300,128,20,102,0,tardos,0.25,0.011823707197183566,1.0,0.828125
4,300,128,20,102,0,tardos,0.25,0.011823707197183566,1.0,0.8125
4,300,128,20,102,0,tardos,0.25,0.011823707197183566,1.0,0.8046875
4,300,128,20,102,0,tardos,0.25,0.011823707197183566,1.0,0.78125
4,300,128,20,102,0,tardos,0.25,0.011823707197183566,1.0,0.7734375
4,300,128,20,102,0,tardos,0.25,0.011823707197183566,1.0,0.765625
4,300,128,20,102,0,tardos,0.25,0.011823707197183566,1.0,0.765625
4,300,128,20,102,0,tardos,0.25,0.011823707197183566,1.0,0.765625
4,300,128,20,102,0,tardos,0.25,0.011823707197183566,1.0,0.7578125
4,300,128,20,102,0,tardos,0.25,0.011823707197183566,1.0,0.7578125
4,300,128,20,102,0,tardos,0.25,0.011823707197183566,1.0,0.7578125
4,300,128,20,102,0,tardos,0.25,0.011823707197183566,1.0,0.7578125
4,300,128,20,102,0,tardos,0.25,0.011823707197183566,1.0,0.7578125
4,300,128,20,102,0,tardos,0.25,0.011823707197183566,1.0,0.7421875
4,300,128,20,102,0,tardos,0.25,0.011823707197183566,1.0,0.7421875
4,300,128,20,102,0,tardos,0.25,0.011823707197183566,1.0,0.7265625
4,300,128,20,102,0,tardos,0.25,0.011823707197183566,1.0,0.71875
4,300,128,20,102,0,tardos,0.25,0.011823707197183566,1.0,0.6875
4,300,128,20,102,0,hash,0.25,0.01257526863834459,1.0,0.5703125
4,300,128,20,102,0,hash,0.25,0.01257526863834459,1.0,0.5703125
4,300,128,20,102,0,hash,0.25,0.01257526863834459,1.0,0.5546875
4,300,128,20,102,0,hash,0.25,0.01257526863834459,1.0,0.5546875
4,300,128,20,102,0,hash,0.25,0.01257526863834459,1.0,0.546875
4,300,128,20,102,0,hash,0.25,0.01257526863834459,1.0,0.546875
4,300,128,20,102,0,hash,0.25,0.01257526863834459,1.0,0.5390625
4,300,128,20,102,0,hash,0.25,0.01257526863834459,1.0,0.53125
4,300,128,20,102,0,hash,0.25,0.01257526863834459,1.0,0.5234375
4,300,128,20,102,0,hash,0.25,0.01257526863834459,1.0,0.5234375
4,300,128,20,102,0,hash,0.25,0.01257526863834459,1.0,0.515625
4,300,128,20,102,0,hash,0.25,0.01257526863834459,1.0,0.5078125
4,300,128,20,102,0,hash,0.25,0.01257526863834459,1.0,0.5
4,300,128,20,102,0,hash,0.25,0.01257526863834459,1.0,0.46875
4,300,128,20,102,0,hash,0.25,0.01257526863834459,1.0,0.46875
4,300,128,20,102,0,hash,0.25,0.01257526863834459,1.0,0.4609375
4,300,128,20,102,0,hash,0.25,0.01257526863834459,1.0,0.453125
4,300,128,20,102,0,hash,0.25,0.01257526863834459,1.0,0.4453125
4,300,128,20,102,0,hash,0.25,0.01257526863834459,1.0,0.4375
4,300,128,20,103,0,tardos,0.25,0.012264365205541677,1.0,0.8046875
4,300,128,20,103,0,tardos,0.25,0.012264365205541677,1.0,0.7890625
4,300,128,20,103,0,tardos,0.25,0.012264365205541677,1.0,0.7890625
4,300,128,20,103,0,tardos,0.25,0.012264365205541677,1.0,0.7890625
4,300,128,20,103,0,tardos,0.25,0.012264365205541677,1.0,0.7890625
4,300,128,20,103,0,tardos,0.25,0.012264365205541677,1.0,0.7890625
4,300,128,20,103,0,tardos,0.25,0.012264365205541677,1.0,0.78125
4,300,128,20,103,0,tardos,0.25,0.012264365205541677,1.0,0.78125
