gamma,k,fingerprint_length,n_recipients,sk,id,code,embedding_ratio,recipient_id,attribute,rel_delta_mean,rel_delta_std,hellinger_distance,kl_divergence,emd,ks,p_value
8,300,128,20,109,0,tardos,0.125,0,capital-gain,0.0019360726146188403,0.1054948174890573,0.04565095335017308,0.008009643695395403,193.60532538926765,0.006234452258837231,0.5493976416380126
8,300,128,20,109,0,tardos,0.125,0,capital-loss,0.0014575947852232091,0.031297859795870624,0.01784083374928206,0.0012420659590812132,6.349282884432283,0.003716102085316808,0.9775219770404487
8,300,128,20,109,0,tardos,0.125,0,hours-per-week,1.535579374096672e-05,0.004691513302341867,0.0032586961059299538,4.2418953805507685e-05,0.0528546420564473,0.002088387948773085,0.9999996852866005
8,300,256,20,100,0,tardos,0.125,0,age,9.255546912366483e-05,0.0005800828592618739,0.0008570502836750946,2.9296247084726407e-06,0.008476398145019671,0.0004913853997112749,1.0
8,300,256,20,100,0,tardos,0.125,0,fnlwgt,1.2656885914246109e-05,0.0012232263585904783,0.001955688517273633,1.5464656152879263e-05,113.60569392831421,0.0005835201621572361,1.0
8,300,256,20,100,0,tardos,0.125,0,education-num,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,300,256,20,100,0,tardos,0.125,0,capital-gain,0.0017085527570364324,0.09388701148921663,0.04068218508929558,0.006390292182948121,170.85356715088417,0.006173029083873405,0.562240681050431
8,300,256,20,100,0,tardos,0.125,0,capital-loss,0.0015628221596879028,0.035414451567425856,0.019387033060227196,0.0014664855767674832,6.807653327600521,0.0038082368477626583,0.971545201132761
8,300,256,20,100,0,tardos,0.125,0,hours-per-week,8.962769407999331e-05,0.003262299106829574,0.002690390766370487,2.893890213348942e-05,0.041952028500352505,0.0021498111237369943,0.9999991975494386
8,300,256,20,101,0,tardos,0.125,0,age,0.0001283155367397081,2.250441608500056e-05,0.000748391576401173,2.2373013995027257e-06,0.010104112281564267,0.0007370780995669679,1.0
8,300,256,20,101,0,tardos,0.125,0,fnlwgt,0.00010875062357451421,4.8108472482698475e-05,0.0031415576588093826,3.744827147456943e-05,198.07315500137517,0.0011670403243144722,1.0
8,300,256,20,101,0,tardos,0.125,0,education-num,2.047439165527483e-06,3.5177289108239036e-05,0.00016061004871145725,1.0323043022800031e-07,3.071158748195642e-05,3.071158748195642e-05,1.0
8,300,256,20,101,0,tardos,0.125,0,capital-gain,0.002143081533392037,0.12046164692831161,0.051372220168266876,0.010110901210248095,214.30601025766674,0.006265163846319255,0.5430135191228997
