gamma,k,fingerprint_length,n_recipients,sk,id,embedding_ratio,recipient_id,accuracy,Horizontal_Distance_To_Hydrology-Vertical_Distance_To_Hydrology,Elevation-Horizontal_Distance_To_Roadways,Aspect-Hillshade_9am,Slope-Hillshade_Noon,Aspect-Hillshade_3pm,Hillshade_9am-Hillshade_3pm
2,300,512,20,100,0,0.5,0,0.041966666666666666,0.009183001024581566,0.0018553828334737284,0.0035234234335368535,0.002438631681691146,0.0063352966803106965,0.004300582864579727
2,300,512,20,101,0,0.5,0,0.042375757575757574,0.022930477361127053,0.003975726321916244,0.0014451843274423265,0.006569656186016036,0.0032082003535903016,0.0026953769512480983
2,300,512,20,102,0,0.5,0,0.04253030303030303,0.023731791494287557,6.458512695208696e-05,0.004093692831896464,0.0032751406264449447,0.004561713547935566,0.002887612269908121
2,300,512,20,103,0,0.5,0,0.04286969696969697,0.013134228367933085,0.0027417278235337176,0.002536550423594668,0.00017432614565881437,0.006727931097826064,0.0047473874870356675
2,300,512,20,104,0,0.5,0,0.042351515151515154,0.0204791245759067,0.000633476938016482,0.0019750188934546096,0.000946132677990154,0.0026729504463514613,0.002920890878331909
2,300,512,20,105,0,0.5,0,0.04242424242424243,0.019600488996169067,0.00025317350033591206,0.004275719873397516,0.002837479488762847,0.005271443486905808,0.0027947639059753586
2,300,512,20,106,0,0.5,0,0.04232727272727273,0.015256911655758612,0.003548148072040013,0.004721638784257057,0.0007091079709760046,0.0041383324792140935,0.004471377741208664
2,300,512,20,107,0,0.5,0,0.0423030303030303,0.02244889334815004,0.00017920815584013456,0.001878133485630118,0.0005694123423984474,0.005136185183811756,0.003296187006245217
2,300,512,20,108,0,0.5,0,0.042572727272727276,0.023149060477221088,0.003939153183216935,0.0007528481078031854,0.004267422917607741,0.005414530708038026,0.005273395393290662
2,300,512,20,109,0,0.5,0,0.04225151515151515,0.018110351313132246,0.0030761442338683156,0.0033727548579476764,0.007064136140435181,0.004233480246684699,0.00330646659788427
2,500,64,20,100,0,0.5,0,0.04220606060606061,0.013982478500524226,0.000263275337874749,0.0041407950548742484,0.0004149664780281337,0.004608121914807512,0.00516273317920587
2,500,64,20,101,0,0.5,0,0.04282121212121212,0.02680964792032972,0.0008856009150237274,0.002783019917930294,0.0035050048317635425,0.006336227489170275,0.0052815802319533065
2,500,64,20,102,0,0.5,0,0.042875757575757574,0.02244887622898729,0.00024174370394996927,0.0052935245013671995,0.0001363720349550766,0.003255886293141409,0.003240489218553087
2,500,64,20,103,0,0.5,0,0.04319090909090909,0.014036779146231321,0.0034885628143185724,0.004067067593900913,0.0007870383783036806,0.003130882642540155,0.0028772117005621623
2,500,64,20,104,0,0.5,0,0.042633333333333336,0.017024563920337202,0.00019899048473009557,0.0024352598229629226,0.003697611565326473,0.0036056527350184966,0.0036693578075439053
2,500,64,20,105,0,0.5,0,0.04271515151515152,0.01574008779788954,0.0011700117304003909,0.004350035417878684,0.0034294604222082268,0.0045726355169831735,0.0026429215196247255
2,500,64,20,106,0,0.5,0,0.04231212121212121,0.017582409182636264,0.0022273891533852288,0.004875206967832988,0.00038879586628365266,0.0019566150971580846,0.00349250656218844
2,500,64,20,107,0,0.5,0,0.04248787878787879,0.021553339756180567,0.0006327558380647088,0.0032070850314259228,0.001774282715678214,0.004528484694197956,0.004734872070453826
2,500,64,20,108,0,0.5,0,0.04281818181818182,0.022635438093811626,0.004937635446087543,0.0019599481927186474,0.0041235234005824635,0.006120876441611732,0.006591447325102933
2,500,64,20,109,0,0.5,0,0.04243333333333334,0.017701040081216465,0.0036824415873280172,0.002894978327942435,0.00313624898381932,0.004120421227610581,0.004304170213842375
2,500,128,20,100,0,0.5,0,0.042281818181818184,0.011013556676990978,0.002139616504104447,0.004038727588709327,0.001613546779592962,0.004696914515182462,0.004652046395835913
2,500,128,20,101,0,0.5,0,0.04290606060606061,0.025277119561235892,0.0010440822764077517,0.002257598852016641,0.003416566149099365,0.005921476095537737,0.0037784831167181716
2,500,128,20,102,0,0.5,0,0.04272424242424242,0.020492374380180645,0.0002187205973794497,0.004938394516912375,0.0028355219485453093,0.0027737982553992743,0.004514508327245634
2,500,128,20,103,0,0.5,0,0.04316060606060606,0.016593102456300524,0.002072273930237972,0.0023687264472179283,0.0013648408783800562,0.0037559909061780574,0.003968359600021819
2,500,128,20,104,0,0.5,0,0.04265151515151515,0.021215403054171536,0.003855018387900246,0.00119301982177294,0.0020376486581676996,0.00417902486021403,0.004907049111144208
2,500,128,20,105,0,0.5,0,0.04276060606060606,0.020292449073497514,0.0001523980938644113,0.003996904909553105,0.004232640213993243,0.004303509290728706,0.003537700272671214
2,500,128,20,106,0,0.5,0,0.0425,0.020137160444861274,0.0033531331179129276,0.005303878577103178,0.002309685492929953,0.004079656694041246,0.003372475040505041
2,500,128,20,107,0,0.5,0,0.04258484848484848,0.027314931791125742,0.00037626079432597403,0.004037407097945766,0.0017936204201558525,0.005285251237740898,0.004973997020434797
2,500,128,20,108,0,0.5,0,0.04275151515151515,0.024958904289527007,0.005682840670381862,0.0006091254623816361,0.005504805819444399,0.0057615595265488,0.005012613692973796
2,500,128,20,109,0,0.5,0,0.04248787878787879,0.020359960721585565,0.005399046878683648,0.002540950200870525,0.003838642260095751,0.004395754632738508,0.004527070051849512
2,500,256,20,100,0,0.5,0,0.04230909090909091,0.01081779499733844,0.002153511253923797,0.004102319042960913,0.0012995789494451616,0.006283949694967823,0.006169443407748601
2,500,256,20,101,0,0.5,0,0.042745454545454545,0.027199411070838047,0.0005171028609951249,0.0007207808014213215,0.003295471213285577,0.0032628569729437782,0.003935853100238382
2,500,256,20,102,0,0.5,0,0.042727272727272725,0.022924764951068936,0.0010693356936965783,0.00428051452736795,0.0028816181063173792,0.003135285359178445,0.003737018089992725
2,500,256,20,103,0,0.5,0,0.04322121212121212,0.0179453879883855,0.003558635234402021,0.0035874738110550945,0.002580843896616747,0.003603643062954411,0.0031288389472755827
2,500,256,20,104,0,0.5,0,0.042578787878787876,0.021367201033069223,0.0030059795525767268,0.0031242535121618863,0.0015559986940116898,0.003914092079914782,0.004341371111314625
2,500,256,20,105,0,0.5,0,0.042754545454545455,0.018337255139417915,0.0005667589096783528,0.0037516614087146436,0.002695985843606981,0.005187717073483361,0.004155283363243502
2,500,256,20,106,0,0.5,0,0.04236363636363636,0.01853217316965977,0.004163370299187988,0.005318888132230492,0.0024609412290586075,0.004567155636201109,0.004174634368294064
2,500,256,20,107,0,0.5,0,0.04242727272727273,0.02325843118273889,0.0005837455431830179,0.0016356170127478315,0.0012953135276424575,0.006225808431425187,0.0030492148858402564
2,500,256,20,108,0,0.5,0,0.04280909090909091,0.024571974127277876,0.004177916082383848,0.0015077126667695682,0.0035871516276862517,0.0052501597439973185,0.005724895485038745
2,500,256,20,109,0,0.5,0,0.042509090909090906,0.017809643026625407,0.0024322543958351156,0.0037711054077698447,0.004376971730925889,0.004736734894703493,0.0045277044549479496
2,500,512,20,100,0,0.5,0,0.04216969696969697,0.009333938383245281,0.002623983256390223,0.0036887028296638345,0.002002243758801265,0.005723059736266591,0.003935723830453768
2,500,512,20,101,0,0.5,0,0.04270909090909091,0.02504337073747419,0.0032909760456235814,0.0013952674259099889,0.006116609920815246,0.004338182977738372,0.0038011876757582832
2,500,512,20,102,0,0.5,0,0.042787878787878784,0.024748347738838498,0.0008600608242314362,0.005401609257386149,0.002851553096653048,0.003619285431033382,0.003514289864126765
2,500,512,20,103,0,0.5,0,0.04308181818181818,0.01395304772331311,0.003652792659370942,0.0035348732276778896,0.0010346329412955194,0.005288594932255493,0.004090676307221714
2,500,512,20,104,0,0.5,0,0.04261212121212121,0.020956163725589894,0.00045915430571177266,0.0021965410289432343,0.0006954951183875811,0.0033926342573603577,0.0036383794159499903
2,500,512,20,105,0,0.5,0,0.042666666666666665,0.020076884773136253,0.0006584823015433399,0.004363651205497187,0.00209955808734427,0.005158892374104478,0.0026485892223929034
2,500,512,20,106,0,0.5,0,0.0424969696969697,0.016267528608291792,0.0027628183264418334,0.005627594579737047,0.00033726285665493396,0.0029376353050716703,0.003567368547827806
2,500,512,20,107,0,0.5,0,0.04263636363636364,0.02441343178417536,0.0013202464765467365,0.0022677240665681373,0.0006225659364353783,0.0047052794415489065,0.003427373745310311
2,500,512,20,108,0,0.5,0,0.04284848484848485,0.023886248614051833,0.005200634530983777,0.0009197556396137278,0.003993185592780439,0.0051830690974866275,0.0056445864622071676
2,500,512,20,109,0,0.5,0,0.04249090909090909,0.01999794061079313,0.003505368597573344,0.003158951520538918,0.0064909232668318275,0.004959693855764736,0.00408545957281792
4,300,64,20,100,0,0.25,0,0.020993939393939395,0.007292176672705294,4.74871576359455e-05,0.0021573257650399904,5.673175607976798e-05,0.0026302945445427894,0.0026430083396678365
4,300,64,20,101,0,0.25,0,0.021654545454545454,0.010922878331262847,0.0004956524763817446,0.0014110206698981587,0.0003379322944981643,0.0022562655431805,0.0018604511901436013
4,300,64,20,102,0,0.25,0,0.021460606060606062,0.010104639169675994,0.00013886569461065736,0.0022288709549164467,0.00015075628876806346,0.0023087690727683005,0.0022236187112727396
4,300,64,20,103,0,0.25,0,0.021584848484848485,0.0054767935012986265,0.0018326084331199571,0.0005708170711686047,0.0010260268916765336,0.0012664623288734073,0.0008506134876924519
4,300,64,20,104,0,0.25,0,0.02090909090909091,0.010646705156684306,0.0012252943057049252,0.0002962787509877215,0.0018330985205480218,0.0006190606896093222,0.0018099685443608543
4,300,64,20,105,0,0.25,0,0.021063636363636364,0.008350223439056188,0.001139748046842577,0.0023062735634421286,0.003647816247137576,0.002078644865824846,0.0010692770200930706
4,300,64,20,106,0,0.25,0,0.021093939393939394,0.010495785417169997,0.001345839384119284,0.001936161278548936,0.0008422942287731153,0.0037354540633485786,0.0024909654159827096
4,300,64,20,107,0,0.25,0,0.021003030303030305,0.009504348656654404,0.0004101997448707874,0.001061014857148056,0.00031299299548063944,0.003980560005718267,0.002340059321997865
4,300,64,20,108,0,0.25,0,0.02111212121212121,0.006079996593983928,0.002421548462791138,0.0011605129086930354,0.0007266716427749344,0.0019650493930672723,0.002510622178314057
4,300,64,20,109,0,0.25,0,0.02115151515151515,0.008640609645846222,0.0028919257999325326,0.0015841390247357384,0.0001870443073175626,0.0028896868394279306,0.0025770417240246336
4,300,128,20,100,0,0.25,0,0.020987878787878788,0.007635755860822798,0.0005690208091014399,0.002326762185274309,0.00011989619743051022,0.0023744464384240446,0.003202794495780208
4,300,128,20,100,1,0.25,1,0.020881818181818182,0.007172428045430879,4.9907845649035716e-05,0.0013203671987801636,0.00017256017231366365,0.002570490171167057,0.0021689442341423755
4,300,128,20,100,2,0.25,2,0.02095151515151515,0.004574312891773122,0.0005522856606438657,0.0011458162434501524,0.00027200688969427267,0.003303690461017221,0.002656957747838643
4,300,128,20,100,3,0.25,3,0.02092727272727273,0.007477000404517281,0.0013912517176568832,0.0022360655856813183,0.00020334333890623937,0.002692711681702283,0.0022778115078566133
4,300,128,20,100,4,0.25,4,0.02094242424242424,0.005607031063867949,0.0007113601801179753,0.00195825352690138,0.0008455495134861933,0.002139038842537882,0.002874444400077086
4,300,128,20,100,5,0.25,5,0.020884848484848485,0.0074848365347516144,0.00041398609528302396,0.0018979262187379497,0.001966518890571336,0.0027013005158307035,0.0026476984876032646
4,300,128,20,100,6,0.25,6,0.020884848484848485,0.0068095608591841154,0.00039647539019942797,0.002884442983244808,0.0010532430052983544,0.0021561997026605865,0.00242408825284769
4,300,128,20,100,7,0.25,7,0.0208969696969697,0.0063344119917602025,0.0008306048077429111,0.0011119709892756932,0.0006315524201394442,0.003022458963875895,0.003454352085541159
4,300,128,20,100,8,0.25,8,0.020978787878787878,0.006477213507993598,0.00016349523510256973,0.0013991284991920535,0.0001607816109428914,0.0025671739541007557,0.0026011097182531175
4,300,128,20,100,9,0.25,9,0.021018181818181818,0.0057403934592814496,0.000632254124137008,0.002222289454526704,0.0015984064308805015,0.00212976957269976,0.002066716813660994
4,300,128,20,100,10,0.25,10,0.021024242424242424,0.00672110146951774,1.251908097905503e-05,0.0005934338345647693,0.0003378617006858371,0.0030831275788181585,0.0029987434541861374
