gamma,k,fingerprint_length,n_recipients,sk,id,embedding_ratio,recipient_id,attribute,rel_delta_mean,rel_delta_std
2,300,128,20,104,0,0.5,0,Horizontal_Distance_To_Hydrology,0.0013874162323157181,0.0024869977220514238
2,300,128,20,104,0,0.5,0,Vertical_Distance_To_Hydrology,0.0007239999999999976,0.013383396161989405
2,300,128,20,104,0,0.5,0,Horizontal_Distance_To_Roadways,0.0012300922673411493,0.002949947476150118
2,300,128,20,104,0,0.5,0,Hillshade_9am,8.989501312332258e-05,0.0017086145220607295
2,300,128,20,104,0,0.5,0,Hillshade_Noon,0.00022860215053770522,0.003972320376999417
2,300,128,20,104,0,0.5,0,Hillshade_3pm,7.123655913985768e-06,0.0009755807267346698
2,300,128,20,104,0,0.5,0,Horizontal_Distance_To_Fire_Points,0.0025898229471630107,0.0006140425322923551
2,300,128,20,104,0,0.5,0,Cover_Type,0.004372222222222222,3.8705769076659436e-05
2,300,128,20,105,0,0.5,0,Id,0.0,0.0
2,300,128,20,105,0,0.5,0,Elevation,0.0010503692514265029,0.0021210797537379797
2,300,128,20,105,0,0.5,0,Aspect,0.00027999999999997905,6.284227609629507e-05
2,300,128,20,105,0,0.5,0,Slope,0.0003885245901639317,0.0004309624290887348
2,300,128,20,105,0,0.5,0,Horizontal_Distance_To_Hydrology,0.0016460163812360383,0.004126092744073685
2,300,128,20,105,0,0.5,0,Vertical_Distance_To_Hydrology,0.0006843809523809544,0.012943470122684854
2,300,128,20,105,0,0.5,0,Horizontal_Distance_To_Roadways,0.00045368366821228295,0.002437375839885772
2,300,128,20,105,0,0.5,0,Hillshade_9am,0.00010958005249349531,0.002323616445644741
2,300,128,20,105,0,0.5,0,Hillshade_Noon,0.00027182795698928614,0.0038230605480448223
2,300,128,20,105,0,0.5,0,Hillshade_3pm,6.1827956990153754e-06,0.0018355176088925582
2,300,128,20,105,0,0.5,0,Horizontal_Distance_To_Fire_Points,0.0014059351180516918,0.00020779206832880626
2,300,128,20,105,0,0.5,0,Cover_Type,0.004555555555555572,0.001032203724144961
2,300,128,20,106,0,0.5,0,Id,0.0,0.0
2,300,128,20,106,0,0.5,0,Elevation,0.00042096341054029935,0.0028112027227597423
2,300,128,20,106,0,0.5,0,Aspect,0.00010759259259253263,0.00016320570394294398
2,300,128,20,106,0,0.5,0,Slope,0.0003131147540983589,0.0016811037701246346
2,300,128,20,106,0,0.5,0,Horizontal_Distance_To_Hydrology,0.0016393397865475411,0.00448274969378156
2,300,128,20,106,0,0.5,0,Vertical_Distance_To_Hydrology,0.000772666666666666,0.013364681335091454
2,300,128,20,106,0,0.5,0,Horizontal_Distance_To_Roadways,0.0005374127675518644,0.003529429792491316
2,300,128,20,106,0,0.5,0,Hillshade_9am,0.000125984251968546,0.0031581040565748938
2,300,128,20,106,0,0.5,0,Hillshade_Noon,0.00016537634408601045,0.0028844878276287214
2,300,128,20,106,0,0.5,0,Hillshade_3pm,1.8682795698971916e-05,0.00221797521024567
2,300,128,20,106,0,0.5,0,Horizontal_Distance_To_Fire_Points,0.0022155397555648653,0.0006755873910925403
2,300,128,20,106,0,0.5,0,Cover_Type,0.00490555555555557,0.001084661489531505
2,300,128,20,107,0,0.5,0,Id,0.0,0.0
2,300,128,20,107,0,0.5,0,Elevation,0.0006692178583417304,0.0036609515266902595
2,300,128,20,107,0,0.5,0,Aspect,0.00020101851851855992,0.0004883837716911122
2,300,128,20,107,0,0.5,0,Slope,1.7486338797812282e-05,0.00209707932585137
2,300,128,20,107,0,0.5,0,Horizontal_Distance_To_Hydrology,0.001956689004715817,0.004859879280979337
2,300,128,20,107,0,0.5,0,Vertical_Distance_To_Hydrology,0.0008405714285714286,0.014666541584140278
2,300,128,20,107,0,0.5,0,Horizontal_Distance_To_Roadways,0.0009640110533464774,0.003852216885778142
2,300,128,20,107,0,0.5,0,Hillshade_9am,0.00013845144356956215,0.002117465590883461
2,300,128,20,107,0,0.5,0,Hillshade_Noon,0.0001778494623656277,0.002520109773765773
2,300,128,20,107,0,0.5,0,Hillshade_3pm,4.153225806451961e-05,0.0011335728571904263
2,300,128,20,107,0,0.5,0,Horizontal_Distance_To_Fire_Points,0.0026191133416980424,0.0008479891793504525
2,300,128,20,107,0,0.5,0,Cover_Type,0.004088888888888882,0.00016383810230978467
2,300,128,20,108,0,0.5,0,Id,0.0,0.0
2,300,128,20,108,0,0.5,0,Elevation,0.0010019133937562094,0.0030940996479490246
2,300,128,20,108,0,0.5,0,Aspect,0.00015324074074077505,0.00041531532970647277
2,300,128,20,108,0,0.5,0,Slope,9.890710382515848e-05,0.0013651166777678859
2,300,128,20,108,0,0.5,0,Horizontal_Distance_To_Hydrology,0.001428965003723019,0.002846352063553441
2,300,128,20,108,0,0.5,0,Vertical_Distance_To_Hydrology,0.0009029047619047605,0.016188504660263687
2,300,128,20,108,0,0.5,0,Horizontal_Distance_To_Roadways,0.0011930026696641964,0.003823443066549913
2,300,128,20,108,0,0.5,0,Hillshade_9am,0.00010446194225721683,0.0020093817866007595
2,300,128,20,108,0,0.5,0,Hillshade_Noon,0.0001496774193548566,0.002298634141482937
2,300,128,20,108,0,0.5,0,Hillshade_3pm,1.5188172042941929e-05,0.0009946205002414191
2,300,128,20,108,0,0.5,0,Horizontal_Distance_To_Fire_Points,0.0020898647706677938,0.0005439857463664874
2,300,128,20,108,0,0.5,0,Cover_Type,0.005266666666666679,0.0019311217348804237
2,300,128,20,109,0,0.5,0,Id,0.0,0.0
2,300,128,20,109,0,0.5,0,Elevation,0.0008649714669351191,0.003118541551418961
2,300,128,20,109,0,0.5,0,Aspect,0.00033574074074075433,0.0004109676029679254
2,300,128,20,109,0,0.5,0,Slope,0.0004010928961748702,0.0015785392837024753
2,300,128,20,109,0,0.5,0,Horizontal_Distance_To_Hydrology,0.0015276991809382062,0.0036711671406224034
2,300,128,20,109,0,0.5,0,Vertical_Distance_To_Hydrology,0.0009565238095238117,0.014335070762171059
2,300,128,20,109,0,0.5,0,Horizontal_Distance_To_Roadways,0.0011589480586389274,0.0031650193015254607
2,300,128,20,109,0,0.5,0,Hillshade_9am,7.3359580052467e-05,0.0021814617154720956
2,300,128,20,109,0,0.5,0,Hillshade_Noon,0.00018645161290318092,0.0025214098418980292
2,300,128,20,109,0,0.5,0,Hillshade_3pm,1.6263440860296528e-05,0.0011985352744096824
2,300,128,20,109,0,0.5,0,Horizontal_Distance_To_Fire_Points,0.0022662159022259457,0.0013894118730079766
2,300,128,20,109,0,0.5,0,Cover_Type,0.0043666666666667036,0.001130975474792881
2,300,256,20,100,0,0.5,0,Id,0.0,0.0
2,300,256,20,100,0,0.5,0,Elevation,0.00044785162806307776,0.003152098402136873
2,300,256,20,100,0,0.5,0,Aspect,0.00030509259259253616,0.00013795368375508064
2,300,256,20,100,0,0.5,0,Slope,0.00017540983606557266,0.00021818138505674795
2,300,256,20,100,0,0.5,0,Horizontal_Distance_To_Hydrology,0.0013768677091089555,0.0016855397351648138
2,300,256,20,100,0,0.5,0,Vertical_Distance_To_Hydrology,0.0009620476190476219,0.01691696782976335
2,300,256,20,100,0,0.5,0,Horizontal_Distance_To_Roadways,0.0006804084117840313,0.002810464365265851
2,300,256,20,100,0,0.5,0,Hillshade_9am,9.947506561685514e-05,0.0021216947418113614
2,300,256,20,100,0,0.5,0,Hillshade_Noon,0.00015720430107535321,0.00194240496943399
2,300,256,20,100,0,0.5,0,Hillshade_3pm,3.938172043003962e-05,0.0012350016727934166
2,300,256,20,100,0,0.5,0,Horizontal_Distance_To_Fire_Points,0.0021497049119382924,0.0013860770355020224
2,300,256,20,100,0,0.5,0,Cover_Type,0.004411111111111143,0.00013676597006153062
2,300,256,20,101,0,0.5,0,Id,0.0,0.0
2,300,256,20,101,0,0.5,0,Elevation,0.0004612453843572087,0.003069823731460505
2,300,256,20,101,0,0.5,0,Aspect,0.000113333333333385,0.00030844460090693744
2,300,256,20,101,0,0.5,0,Slope,8.306010928963746e-05,0.002129629182169225
2,300,256,20,101,0,0.5,0,Horizontal_Distance_To_Hydrology,0.0015764705882352918,0.003696874705758399
2,300,256,20,101,0,0.5,0,Vertical_Distance_To_Hydrology,0.0007737142857142894,0.013882108502241468
2,300,256,20,101,0,0.5,0,Horizontal_Distance_To_Roadways,0.000499536321483805,0.0033955143288938363
2,300,256,20,101,0,0.5,0,Hillshade_9am,0.00010170603674542622,0.0015192320827195761
2,300,256,20,101,0,0.5,0,Hillshade_Noon,0.00012688172043010215,0.001578431618264426
2,300,256,20,101,0,0.5,0,Hillshade_3pm,1.666666666676153e-05,0.002212803156696019
2,300,256,20,101,0,0.5,0,Horizontal_Distance_To_Fire_Points,0.0027308192759886926,0.0011343091631219645
2,300,256,20,101,0,0.5,0,Cover_Type,0.004211111111111165,0.000882950926495997
2,300,256,20,102,0,0.5,0,Id,0.0,0.0
2,300,256,20,102,0,0.5,0,Elevation,0.0005711816045652895,0.004089394022040036
2,300,256,20,102,0,0.5,0,Aspect,0.0002757407407407363,0.0001921941233509975
2,300,256,20,102,0,0.5,0,Slope,0.00030273224043716156,0.0017194450593990447
2,300,256,20,102,0,0.5,0,Horizontal_Distance_To_Hydrology,0.001625068255150164,0.0019690290904552017
