gamma,k,fingerprint_length,n_recipients,sk,id,embedding_ratio,recipient_id,Horizontal_Distance_To_Hydrology_Vertical_Distance_To_Hydrology,Elevation_Horizontal_Distance_To_Roadways,Aspect_Hillshade_9am,Slope_Hillshade_Noon,Aspect_Hillshade_3pm,Hillshade_9am_Hillshade_3pm
4,500,64,20,107,0,0.25,0,0.05777146780881581,2.7834561966320583e-05,-0.0004388577956699291,-0.020224037715991284,0.0005774196917848553,-0.00020649478077773434
4,500,64,20,108,0,0.25,0,0.053172822460260984,0.0032199522875328277,-0.00033044140142207955,-0.019333427060947574,9.010129976402875e-05,-0.0007095207970173639
4,500,64,20,109,0,0.25,0,0.05142916368131838,0.0032348103872323892,-0.0007632810223604229,-0.02274861352020283,0.0006744986601594868,-2.5154046740022863e-05
4,500,128,20,100,0,0.25,0,0.05365549928157353,0.0010177402407111498,-0.0016774290968693667,-0.025787316105376563,0.0009167787821122116,-0.0003743487683243987
4,500,128,20,102,0,0.25,0,0.05643066808739715,0.000165392257778942,-0.001525788010055636,-0.024152593555949106,0.0007075148131208916,-0.00019512312546059074
4,500,128,20,103,0,0.25,0,0.04974125730056414,0.0024270115436146157,-0.0002743941097265528,-0.0249874607771576,0.0007127416552730539,-0.00023609669552011563
4,500,128,20,104,0,0.25,0,0.06104925003920104,0.0007858887030295765,-0.0008070531447037277,-0.018026646893300746,0.0010704536295288666,-0.0002799809262418223
4,500,128,20,105,0,0.25,0,0.05605323102814911,0.0018492383771371022,-0.0007105248847526605,-0.01655836844847184,0.0002455649092468749,-0.00034540819874736466
4,500,128,20,106,0,0.25,0,0.054667057542530505,0.0022618248284925653,-0.0009376254086534906,-0.017499105918450466,0.000325312662686317,-0.00017070015058196137
4,500,128,20,107,0,0.25,0,0.05990601040777229,0.000752068002260146,-0.0012057085262726387,-0.02043287034239456,0.0014260083798635246,-0.00022717700572229933
4,500,128,20,108,0,0.25,0,0.05347346009104454,0.0027786057403683287,-0.0005203140342919943,-0.018428969120075515,0.00035922641809237385,-0.0003784970009547471
4,500,128,20,109,0,0.25,0,0.0539884876288887,0.003873890801030174,-0.00033762256108140404,-0.020316183067395632,0.0005749004856058005,-0.000563887755831757
4,500,256,20,100,0,0.25,0,0.051983068798993164,0.0014150602167623835,-0.0011678902993839712,-0.024517261703982156,0.0006301079074303189,-0.0005044801883045697
4,500,256,20,102,0,0.25,0,0.053995589634778594,0.000931514017013612,-0.00043716077676707505,-0.022019221481520183,5.987688498406662e-07,-0.00045607101542562156
4,500,256,20,103,0,0.25,0,0.051138742137361685,0.002952332501786121,-0.0008871155953438652,-0.024637868279649068,0.0006400902954844164,-0.00026608647955416365
4,500,256,20,104,0,0.25,0,0.06612489714831896,0.0009955936484229975,-0.000698593615431608,-0.01958179250242369,0.0006627077386891591,-0.00030562632381683064
4,500,256,20,105,0,0.25,0,0.05819473283114488,0.0006047470206778583,-0.0009226471321663331,-0.015782437422301468,0.0008698553423196382,-0.000968588850554871
4,500,256,20,106,0,0.25,0,0.051258799338694316,0.0012554421919876786,-0.002157714201311193,-0.016277404440808364,0.0003741692587934448,-0.0006963479062721054
4,500,256,20,107,0,0.25,0,0.05922807659074184,0.0011658024013441687,-0.0003710441263229394,-0.020543401633004492,0.0018396199862732697,-0.0004697577696544021
4,500,256,20,108,0,0.25,0,0.05470911764015897,0.0022523325955009247,-0.000607300641539707,-0.019005538072524825,0.00020155876233832128,-0.0007867487296004718
4,500,256,20,109,0,0.25,0,0.054264507361636585,0.0011228020443267584,-0.0010011064052580607,-0.019160771929105903,0.00044066516094282056,-0.00024713008901333856
8,300,64,20,100,0,0.125,0,0.023289438655649555,7.040606081781564e-05,-0.0004919038527213235,-0.011993469655149643,0.0002673561245255225,-0.00032029113278283844
8,300,64,20,102,0,0.125,0,0.029209051452047854,0.0015084274433475975,-0.00024060696953025304,-0.011592215887483208,3.6879707867098363e-06,-0.00046944322090635836
8,300,64,20,103,0,0.125,0,0.02358236650093389,0.0008975990013329725,-0.0009305629133990386,-0.011674868010133172,0.00012477788548102473,-0.00050332160309236
