gamma,k,fingerprint_length,n_recipients,sk,n_colluders,strategy,threshold,embedding_ratio,colluders,accusation_scores,total_accusations,hit_abs,hit_rate,false_accusation_abs,false_accusation_rate,recall
32,300,64,20,100,3,random,1,0.03125,[ 6  2 13],"[22.18070978 24.26015132 28.4190344  20.10126824 20.79441542 24.9532985
 30.49847594 25.64644568 22.18070978 19.40812106 21.4875626  22.18070978
 22.87385696 18.71497388 21.4875626  21.4875626  18.71497388 18.02182669
 19.40812106 25.64644568]",2,2,1.0,0,0.0,0.6666666666666667
32,300,64,20,100,3,random,1,0.03125,[10  4 14],"[19.40812106 22.18070978 21.4875626  18.02182669 24.9532985  15.24923797
 20.10126824 23.56700414 22.87385696 18.71497388 23.56700414 20.10126824
 20.10126824 13.86294361 25.64644568 16.63553233 17.32867951 11.78350207
 19.40812106 19.40812106]",4,3,0.75,1,0.25,1.0
32,300,64,20,100,3,random_flip,1,0.03125,[19 17  9],"[18.71497388 18.71497388 19.40812106 19.40812106 22.18070978 22.18070978
 22.18070978 20.10126824 20.10126824 20.79441542 15.94238515 17.32867951
 15.94238515 14.55609079 19.40812106 22.87385696 14.55609079 18.02182669
 19.40812106 24.9532985 ]",5,1,0.2,4,0.8,0.33333333333333337
32,300,64,20,100,3,random_flip,1,0.03125,[11 10 15],"[24.26015132 24.9532985  20.10126824 21.4875626  21.4875626  19.40812106
 20.10126824 22.18070978 20.10126824 23.56700414 29.80532876 27.72588722
 22.18070978 13.86294361 13.16979643 22.18070978 13.86294361 17.32867951
 19.40812106 20.79441542]",2,2,1.0,0,0.0,0.6666666666666667
32,300,64,20,100,3,random_flip,1,0.03125,[3 7 0],"[24.9532985  21.4875626  23.56700414 29.80532876 21.4875626  20.10126824
 24.9532985  23.56700414 22.18070978 22.87385696 20.79441542 22.18070978
 22.18070978 16.63553233 20.79441542 19.40812106 19.40812106 15.94238515
 23.56700414 21.4875626 ]",3,2,0.6666666666666666,1,0.33333333333333337,0.6666666666666667
32,300,64,20,100,3,random_flip,1,0.03125,[11 17 16],"[24.9532985  19.40812106 18.02182669 21.4875626  16.63553233 22.87385696
 20.79441542 20.10126824 18.02182669 22.87385696 20.10126824 23.56700414
 18.71497388 15.24923797 15.94238515 13.86294361 24.9532985  24.26015132
 17.32867951 19.40812106]",4,3,0.75,1,0.25,1.0
32,300,64,20,100,3,random_flip,1,0.03125,[10 16 13],"[15.24923797 27.03274004 22.87385696 20.79441542 21.4875626  21.4875626
 21.4875626  23.56700414 20.10126824 18.02182669 26.33959286 20.79441542
 17.32867951 27.03274004 19.40812106 18.71497388 25.64644568 18.02182669
 19.40812106 22.87385696]",4,3,0.75,1,0.25,1.0
32,300,64,20,100,3,random_flip,1,0.03125,[ 4 14  9],"[21.4875626  23.56700414 19.40812106 22.87385696 23.56700414 19.40812106
 19.40812106 18.71497388 18.71497388 27.03274004 22.18070978 20.79441542
 25.64644568 14.55609079 26.33959286 17.32867951 24.26015132 17.32867951
 16.63553233 20.79441542]",3,2,0.6666666666666666,1,0.33333333333333337,0.6666666666666667
32,300,64,20,100,3,random_flip,1,0.03125,[ 2 18  1],"[20.79441542 23.56700414 24.26015132 18.71497388 22.87385696 20.79441542
 25.64644568 22.87385696 25.64644568 20.10126824 20.79441542 19.40812106
 18.71497388 16.63553233 20.79441542 21.4875626  18.02182669 15.24923797
 23.56700414 20.79441542]",3,1,0.3333333333333333,2,0.6666666666666667,0.33333333333333337
32,300,64,20,100,3,random_flip,1,0.03125,[18  2  6],"[19.40812106 24.9532985  28.4190344  17.32867951 16.63553233 22.87385696
 26.33959286 23.56700414 23.56700414 16.63553233 20.79441542 15.24923797
 15.94238515 18.71497388 19.40812106 22.18070978 20.10126824 17.32867951
 18.02182669 25.64644568]",4,2,0.5,2,0.5,0.6666666666666667
