gamma,k,fingerprint_length,n_recipients,sk,n_colluders,strategy,threshold,embedding_ratio,colluders,accusation_scores,total_accusations,hit_abs,hit_rate,false_accusation_abs,false_accusation_rate,recall
8,300,256,20,100,3,avg,1,0.125,[17 15  3],"[144.17461356 136.54999457 138.62943611 156.65126281 143.48146638
 136.54999457 134.47055303 141.40202483 139.32258329 140.01573047
 135.85684739 138.62943611 137.24314175 137.93628893 145.56090792
 147.64034946 135.85684739 149.02664382 134.47055303 134.47055303]",3,3,1.0,0,0.0,1.0
8,300,256,20,100,3,avg,1,0.125,[10  7 16],"[137.93628893 140.70887765 128.92537558 135.85684739 136.54999457
 131.00481713 131.69796431 153.87867408 138.62943611 142.7883192
 156.65126281 135.85684739 135.85684739 138.62943611 138.62943611
 127.53908122 155.95811563 137.93628893 132.39111149 130.31166995]",3,3,1.0,0,0.0,1.0
8,300,256,20,100,3,avg,1,0.125,[ 7 17  9],"[144.86776074 139.32258329 133.08425867 135.85684739 139.32258329
 129.61852276 140.01573047 159.42385153 139.32258329 155.26496845
 136.54999457 142.7883192  133.08425867 135.85684739 140.01573047
 129.61852276 137.24314175 149.719791   133.08425867 129.61852276]",3,3,1.0,0,0.0,1.0
8,300,256,20,100,3,avg,1,0.125,[ 2 14 17],"[140.01573047 135.16370021 153.1855269  138.62943611 135.16370021
 135.16370021 131.69796431 142.7883192  142.09517201 138.62943611
 140.01573047 137.24314175 135.85684739 139.32258329 151.79923254
 131.00481713 135.16370021 152.49237972 131.69796431 133.08425867]",3,3,1.0,0,0.0,1.0
8,300,256,20,100,3,avg,1,0.125,[18  8 15],"[134.47055303 146.2540551  134.47055303 138.62943611 137.93628893
 128.92537558 138.62943611 140.70887765 153.87867408 135.85684739
 131.69796431 140.01573047 135.85684739 133.08425867 135.85684739
 148.33349664 136.54999457 134.47055303 151.10608536 137.24314175]",4,3,0.75,1,0.25,1.0
8,300,256,20,100,3,avg,1,0.125,[ 5 17  1],"[142.7883192  149.719791   137.93628893 137.93628893 138.62943611
 149.02664382 137.93628893 142.09517201 141.40202483 139.32258329
 136.54999457 140.70887765 133.77740585 139.32258329 137.93628893
 128.92537558 133.77740585 151.79923254 131.69796431 129.61852276]",3,3,1.0,0,0.0,1.0
8,300,256,20,100,3,avg,1,0.125,[15  6  8],"[137.93628893 139.32258329 130.31166995 133.08425867 132.39111149
 131.00481713 156.65126281 139.32258329 152.49237972 137.24314175
 128.92537558 135.85684739 134.47055303 133.77740585 137.24314175
 151.10608536 133.77740585 132.39111149 133.77740585 137.24314175]",3,3,1.0,0,0.0,1.0
8,300,256,20,100,3,avg,1,0.125,[10  7 18],"[139.32258329 136.54999457 131.69796431 135.85684739 140.70887765
 131.00481713 130.31166995 155.26496845 137.93628893 141.40202483
 154.57182126 133.08425867 135.85684739 137.24314175 135.85684739
 125.45963968 135.85684739 137.24314175 152.49237972 128.2322284 ]",3,3,1.0,0,0.0,1.0
8,300,256,20,100,3,avg,1,0.125,[ 7  2 18],"[140.01573047 139.32258329 149.719791   137.24314175 135.16370021
 126.84593404 135.85684739 155.95811563 137.93628893 141.40202483
 135.85684739 133.08425867 133.08425867 134.47055303 138.62943611
 129.61852276 130.31166995 133.77740585 151.10608536 130.31166995]",3,3,1.0,0,0.0,1.0
8,300,256,20,100,5,avg,1,0.125,[ 3 14  2  8 19],"[142.7883192  138.62943611 149.02664382 153.1855269  140.01573047
 140.70887765 132.39111149 142.09517201 152.49237972 139.32258329
 143.48146638 137.93628893 140.70887765 142.09517201 149.02664382
 134.47055303 135.16370021 139.32258329 137.24314175 149.02664382]",5,5,1.0,0,0.0,1.0
8,300,256,20,100,5,avg,1,0.125,[ 0  1 17  2 10],"[152.49237972 146.94720228 149.02664382 140.70887765 140.01573047
 135.85684739 135.16370021 144.17461356 141.40202483 142.09517201
 145.56090792 136.54999457 136.54999457 144.17461356 139.32258329
 130.31166995 135.16370021 149.02664382 132.39111149 135.85684739]",4,4,1.0,0,0.0,0.8
8,300,256,20,100,5,avg,1,0.125,[11  4  9 13  0],"[153.87867408 134.47055303 134.47055303 135.85684739 144.17461356
 137.93628893 133.77740585 146.94720228 137.24314175 152.49237972
 139.32258329 146.2540551  134.47055303 145.56090792 137.93628893
 130.31166995 134.47055303 138.62943611 132.39111149 128.2322284 ]",4,3,0.75,1,0.25,0.6
8,300,256,20,100,5,avg,1,0.125,[ 0  6 17  5 16],"[152.49237972 135.85684739 134.47055303 138.62943611 140.01573047
 144.86776074 146.2540551  144.86776074 143.48146638 141.40202483
 137.24314175 139.32258329 135.85684739 139.32258329 139.32258329
 131.00481713 144.86776074 150.41293818 131.69796431 130.31166995]",3,3,1.0,0,0.0,0.6
