gamma,k,fingerprint_length,n_recipients,sk,id,code,embedding_ratio,experiment_no,attack_strength,detection_confidence,accuracy,hellinger_distance,hellinger_distance_remaining,marital-status_relationship,marital-status_sex,relationship_sex,income_relationship,education_education-num,age_marital-status,education-num_occupation,age_relationship
4,300,128,20,102,0,tardos,0.25,2,0.7,1.0,0.375,0.6686627779631332,0.005988333889399538,0.012749853872078554,,,0.03159469400290905,,,,
4,300,128,20,102,0,tardos,0.25,0,0.8,0.5078125,0.25,0.8064147134595295,0.03207356729764723,,,,,,,,
4,300,128,20,102,0,tardos,0.25,1,0.8,0.8125,0.25,0.8065747375254141,0.03287368762707041,,,,,,,,
4,300,128,20,102,0,tardos,0.25,2,0.8,1.0,0.25,0.800984751142605,0.00492375571302539,,,,0.03159469400290905,,,,
4,300,128,20,102,0,tardos,0.25,0,0.9,0.40625,0.125,0.9333584565698024,0.0003768485470365374,,,,,,,,
4,300,128,20,102,0,tardos,0.25,1,0.9,0.4921875,0.125,0.9341952559004648,0.012928838506971864,,,,,,,,
4,300,128,20,102,0,tardos,0.25,2,0.9,0.6875,0.125,0.9337202692638763,0.005804038958144495,,,,,,,,
4,300,128,20,103,0,tardos,0.25,0,0.1,1.0,0.875,0.14407934492548735,0.012399244144793098,0.009397919834808165,0.004441961806039136,0.008686520785959544,0.031353768847956126,0.0010454404779706885,,0.00443847057002514,
4,300,128,20,103,0,tardos,0.25,1,0.1,1.0,0.875,0.13905649054164199,0.00660364293266383,0.009397919834808165,0.004441961806039136,0.008686520785959544,0.031353768847956126,0.0010454404779706885,0.026104567236603243,0.00443847057002514,0.041116488289515515
4,300,128,20,103,0,tardos,0.25,2,0.1,1.0,0.875,0.14388875015513555,0.012179327102079475,0.009397919834808165,0.004441961806039136,0.008686520785959544,0.031353768847956126,,0.026104567236603243,,0.041116488289515515
4,300,128,20,103,0,tardos,0.25,0,0.2,1.0,0.8125,0.2107208883556849,0.013401110444606144,0.009397919834808165,0.004441961806039136,0.008686520785959544,0.031353768847956126,,,,
4,300,128,20,103,0,tardos,0.25,1,0.2,1.0,0.8125,0.20513709453233067,0.00642136816541333,0.009397919834808165,0.004441961806039136,0.008686520785959544,0.031353768847956126,0.0010454404779706885,0.026104567236603243,0.00443847057002514,0.041116488289515515
4,300,128,20,103,0,tardos,0.25,2,0.2,1.0,0.8125,0.210163363341631,0.012704204177038733,0.009397919834808165,0.004441961806039136,0.008686520785959544,0.031353768847956126,,0.026104567236603243,,0.041116488289515515
4,300,128,20,103,0,tardos,0.25,0,0.3,1.0,0.75,0.27494898059889306,0.011294064453035983,0.009397919834808165,0.004441961806039136,0.008686520785959544,0.031353768847956126,,,,
4,300,128,20,103,0,tardos,0.25,1,0.3,1.0,0.75,0.2717837572009888,0.006977850728621084,0.009397919834808165,,,0.031353768847956126,0.0010454404779706885,0.026104567236603243,0.00443847057002514,0.041116488289515515
4,300,128,20,103,0,tardos,0.25,2,0.3,1.0,0.75,0.2767846198113812,0.013797208833701606,0.009397919834808165,0.004441961806039136,0.008686520785959544,0.031353768847956126,,0.026104567236603243,,0.041116488289515515
4,300,128,20,103,0,tardos,0.25,0,0.4,1.0,0.625,0.40799825710848053,0.01333042851413421,0.009397919834808165,0.004441961806039136,0.008686520785959544,0.031353768847956126,,,,
4,300,128,20,103,0,tardos,0.25,1,0.4,1.0,0.625,0.4048330337105763,0.008055056184293776,0.009397919834808165,,,0.031353768847956126,,0.026104567236603243,0.00443847057002514,0.041116488289515515
4,300,128,20,103,0,tardos,0.25,2,0.4,1.0,0.625,0.409974725460697,0.016624542434495057,0.009397919834808165,,,0.031353768847956126,,,,
